AREA_SHORT,LHIN7,LHIN8,AREA_NAME,LONGITUDE,LATITUDE,Point_Coun,AnalysisAr,2018/20_Male_0+,2018/20_Female_0+,2018/20_BothSexes_0+,2018/20_Male_0+_in%,2018/20_Female_0+_in%,2018/20_BothSexes_0+_in%,2018/20_Male_0-4,2018/20_Female_0-4,2018/20_BothSexes_0-4,2018/20_Male_0-4_in%,2018/20_Female_0-4_in%,2018/20_BothSexes_0-4_in%,2018/20_Male_5-19,2018/20_Female_5-19,2018/20_BothSexes_5-19,2018/20_Male_5-19_in%,2018/20_Female_5-19_in%,2018/20_BothSexes_5-19_in%,2018/20_Male_20-44,2018/20_Female_20-44,2018/20_BothSexes_20-44,2018/20_Male_20-44_in%,2018/20_Female_20-44_in%,2018/20_BothSexes_20-44_in%,2018/20_Male_45-64,2018/20_Female_45-64,2018/20_BothSexes_45-64,2018/20_Male_45-64_in%,2018/20_Female_45-64_in%,2018/20_BothSexes_45-64_in%,2018/20_Male_65-74,2018/20_Female_65-74,2018/20_BothSexes_65-74,2018/20_Male_65-74_in%,2018/20_Female_65-74_in%,2018/20_BothSexes_65-74_in%,2018/20_Male_75+,2018/20_Female_75+,2018/20_BothSexes_75+,2018/20_Male_75+_in%,2018/20_Female_75+_in%,2018/20_BothSexes_75+_in%,2015/17_Male_0+,2015/17_Female_0+,2015/17_BothSexes_0+,2015/17_Male_0+_in%,2015/17_Female_0+_in%,2015/17_BothSexes_0+_in%,2015/17_Male_0-4,2015/17_Female_0-4,2015/17_BothSexes_0-4,2015/17_Male_0-4_in%,2015/17_Female_0-4_in%,2015/17_BothSexes_0-4_in%,2015/17_Male_5-19,2015/17_Female_5-19,2015/17_BothSexes_5-19,2015/17_Male_5-19_in%,2015/17_Female_5-19_in%,2015/17_BothSexes_5-19_in%,2015/17_Male_20-44,2015/17_Female_20-44,2015/17_BothSexes_20-44,2015/17_Male_20-44_in%,2015/17_Female_20-44_in%,2015/17_BothSexes_20-44_in%,2015/17_Male_45-64,2015/17_Female_45-64,2015/17_BothSexes_45-64,2015/17_Male_45-64_in%,2015/17_Female_45-64_in%,2015/17_BothSexes_45-64_in%,2015/17_Male_65-74,2015/17_Female_65-74,2015/17_BothSexes_65-74,2015/17_Male_65-74_in%,2015/17_Female_65-74_in%,2015/17_BothSexes_65-74_in%,2015/17_Male_75+,2015/17_Female_75+,2015/17_BothSexes_75+,2015/17_Male_75+_in%,2015/17_Female_75+_in%,2015/17_BothSexes_75+_in%
105,?,?,Lawrence Park North,-79.40397836,43.73006017,0,2.29081996,3610,3669,7279,22.94,21.86,22.38,315,202,517,33.94,23.6,28.98,885,715,1600,23.84,20.580000000000002,22.27,778,908,1686,16.85,18.2,17.55,819,867,1686,18.33,17.26,17.76,339,345,684,26.28,24.57,25.39,474,632,1106,65.28999999999999,61.12,62.84,3634.0,3977.0,7611.0,23.48,23.72,23.6,359.0,290.0,649.0,34.519999999999996,30.21,32.45,864.0,672.0,1536.0,23.93,19.95,22.009999999999998,805.0,1086.0,1891.0,17.169999999999998,20.5,18.94,855.0,937.0,1792.0,19.53,19.22,19.369999999999997,324.0,364.0,688.0,29.560000000000002,28.130000000000003,28.79,427.0,628.0,1055.0,64.11,64.47999999999999,64.33
103,?,?,Lawrence Park South,-79.40603941000001,43.7172117,0,3.2436763,3387,3755,7142,21.57,21.39,21.48,266,167,433,38.11,26.01,32.31,766,589,1355,22.07,17.369999999999997,19.75,741,1113,1854,15.7,19.69,17.87,836,881,1717,18.14,17.34,17.72,295,361,656,22.55,21.85,22.16,483,644,1127,53.91,56.69,55.46,3479.0,3877.0,7356.0,22.03,22.1,22.07,314.0,214.0,528.0,42.32,31.660000000000004,37.239999999999995,730.0,688.0,1418.0,20.96,19.759999999999998,20.36,814.0,1179.0,1993.0,16.580000000000002,20.259999999999998,18.57,924.0,942.0,1866.0,19.919999999999998,18.259999999999998,19.04,309.0,357.0,666.0,23.990000000000002,25.0,24.52,388.0,497.0,885.0,53.010000000000005,51.03,51.879999999999995
102,?,?,Forest Hill North,-79.4281623,43.7042089,0,1.57233211,2931,3972,6903,22.74,25.62,24.31,228,185,413,34.760000000000005,29.65,32.27,404,374,778,15.13,15.34,15.23,778,1133,1911,18.03,21.16,19.76,614,984,1598,18.19,22.69,20.72,436,438,874,37.85,28.63,32.59,471,858,1329,65.42,70.1,68.36,3302.0,4147.0,7449.0,26.080000000000002,27.03,26.6,262.0,206.0,468.0,34.660000000000004,29.939999999999998,32.410000000000004,488.0,363.0,851.0,18.630000000000003,15.3,17.05,909.0,1177.0,2086.0,21.29,21.23,21.259999999999998,794.0,1088.0,1882.0,23.73,25.240000000000002,24.580000000000002,445.0,437.0,882.0,42.3,33.46,37.4,404.0,876.0,1280.0,65.37,77.94,73.47999999999999
101,?,?,Forest Hill South,-79.41431803,43.69452566,0,2.48086697,2584,3156,5740,23.38,24.24,23.85,144,90,234,34.12,24.46,29.62,321,336,657,18.380000000000003,19.47,18.92,631,825,1456,16.65,18.14,17.46,536,676,1212,18.05,19.77,18.97,371,487,858,30.06,29.77,29.9,581,742,1323,65.42999999999999,56.04,59.81,2546.0,3190.0,5736.0,23.69,24.97,24.39,150.0,122.0,272.0,37.13,27.98,32.38,305.0,379.0,684.0,17.9,21.78,19.86,601.0,891.0,1492.0,16.6,19.95,18.45,609.0,731.0,1340.0,19.52,20.6,20.1,384.0,400.0,784.0,34.1,27.47,30.360000000000003,497.0,667.0,1164.0,64.38,59.129999999999995,61.260000000000005
100,?,?,Yonge-Eglinton,-79.40359046,43.70468971,0,1.65101032,2683,3192,5875,22.28,23.27,22.8,241,198,439,36.4,32.78,34.68,349,409,758,17.990000000000002,21.02,19.51,851,1158,2009,17.31,20.37,18.95,557,655,1212,18.75,19.41,19.1,362,328,690,36.42,25.71,30.4,323,444,767,57.67999999999999,53.11,54.94,2740.0,3179.0,5919.0,24.2,24.72,24.48,214.0,178.0,392.0,35.2,27.380000000000003,31.160000000000004,368.0,355.0,723.0,21.03,20.380000000000003,20.7,823.0,1168.0,1991.0,18.09,21.97,20.18,642.0,750.0,1392.0,21.09,22.78,21.97,350.0,293.0,643.0,37.39,25.43,30.8,343.0,435.0,778.0,79.4,61.27,68.13
99,?,?,Mount Pleasant East,-79.38493462,43.70482725,1,3.09455872,3808,4674,8482,22.32,24.24,23.34,393,256,649,38.760000000000005,27.53,33.38,635,579,1214,20.29,19.4,19.86,980,1486,2466,16.87,21.43,19.35,912,1068,1980,18.98,20.37,19.71,394,545,939,27.59,29.46,28.65,494,740,1234,56.26000000000001,55.22,55.64,3755.0,4803.0,8558.0,22.85,25.5,24.259999999999998,419.0,313.0,732.0,41.160000000000004,30.27,35.67,677.0,568.0,1245.0,22.3,19.41,20.880000000000003,955.0,1397.0,2352.0,16.880000000000003,21.09,19.15,883.0,1166.0,2049.0,19.1,21.93,20.61,338.0,520.0,858.0,25.0,31.55,28.6,483.0,839.0,1322.0,64.4,65.34,65.0
98,?,?,Rosedale-Moore Park,-79.37964923,43.68280596,0,4.66334339,5258,6607,11865,23.7,25.11,24.47,307,256,563,35.53,31.22,33.43,673,667,1340,21.5,20.96,21.23,1175,1633,2808,17.25,19.39,18.43,1117,1449,2566,17.56,19.71,18.72,768,934,1702,28.57,26.95,27.66,1218,1668,2886,52.23,54.37,53.44,5160.0,6337.0,11497.0,24.54,25.54,25.080000000000002,378.0,249.0,627.0,41.81,29.5,35.87,692.0,629.0,1321.0,22.73,19.89,21.29,998.0,1453.0,2451.0,16.03,18.59,17.46,1208.0,1397.0,2605.0,18.9,19.47,19.21,710.0,1018.0,1728.0,27.78,32.65,30.45,1174.0,1591.0,2765.0,61.589999999999996,58.970000000000006,60.06
97,?,?,Yonge-St.Clair,-79.39787102,43.68785953,0,1.16182367,2979,3812,6791,25.13,26.48,25.87,213,143,356,39.3,33.730000000000004,36.85,285,212,497,21.66,16.28,18.98,750,1132,1882,16.27,20.44,18.55,628,698,1326,21.88,19.74,20.7,369,504,873,26.93,27.27,27.13,734,1123,1857,64.05,64.32,64.21000000000001,3067.0,4040.0,7107.0,26.560000000000002,28.389999999999997,27.57,208.0,178.0,386.0,44.44,37.239999999999995,40.8,255.0,222.0,477.0,21.68,19.2,20.45,939.0,1214.0,2153.0,20.65,21.86,21.31,660.0,797.0,1457.0,22.0,21.41,21.68,398.0,551.0,949.0,29.660000000000004,31.02,30.439999999999998,607.0,1078.0,1685.0,59.86,69.82000000000001,65.87
96,?,?,Casa Loma,-79.40800665,43.6818521,0,1.92317114,3597,3596,7193,30.97,26.16,28.36,163,156,319,38.81,34.82,36.75,276,284,560,18.330000000000002,19.32,18.82,902,1091,1993,22.02,21.75,21.87,1011,675,1686,34.25,20.01,26.65,451,504,955,30.93,27.6,29.08,794,886,1680,67.06,55.03,60.13,3536.0,4077.0,7613.0,31.75,31.26,31.49,160.0,135.0,295.0,36.87,33.42,35.2,328.0,310.0,638.0,21.9,21.2,21.55,983.0,1265.0,2248.0,25.9,27.619999999999997,26.839999999999996,806.0,759.0,1565.0,27.1,22.47,24.64,415.0,576.0,991.0,29.939999999999998,32.21,31.22,844.0,1032.0,1876.0,80.53,72.17,75.71000000000001
95,?,?,Annex,-79.40400062000001,43.67158543,0,2.79139494,9433,9720,19153,32.01,29.56,30.72,366,339,705,36.6,34.660000000000004,35.64,482,482,964,19.28,18.15,18.7,3278,3632,6910,24.68,24.08,24.36,2246,1742,3988,30.67,23.03,26.79,1190,1194,2384,38.76,34.23,36.35,1871,2331,4202,81.63,74.9,77.76000000000001,9820.0,10322.0,20142.0,32.89,31.32,32.07,432.0,418.0,850.0,42.269999999999996,38.92,40.55,592.0,597.0,1189.0,23.2,22.72,22.95,3127.0,3528.0,6655.0,23.21,23.330000000000002,23.28,2343.0,2341.0,4684.0,30.24,29.580000000000002,29.910000000000004,1485.0,1217.0,2702.0,50.14,36.989999999999995,43.22,1841.0,2221.0,4062.0,87.58,75.85,80.76
